Sl no,Company name,Mission statement and core values
1,Trifacta,"At Trifacta, we know that the key to winning with Big Data lies with people. That’s why our innovations focus on the user experience—to provide radical productivity gains for data professionals, and enable business analysts to work directly with Big Data. The result: faster, better decisions across the organization.  
Our technical vision focuses on connecting human intuition with computational power. Analysts get clear visibility and light touchpoints on massive data; algorithms extract signals and patterns from data and user behavior; interfaces surface machine suggestions and visualizations for further human attention.
For the user, the experience is simply an intuitive, agile new way of working with data.
  Success in the 21st century depends on leveraging the data at your disposal. Yet for many organizations, data still seems too complex, varied and vast to be useful on a daily basis. Trifacta’s mission is to change all that, and enable you to quickly transform Big Data from a burden into a strategic asset."
2,Cloudera,"Through close interactions across Cloudera, customers have the ability to influence the product roadmap, drive product enhancements, ensure a smoothly operating Hadoop environment, and communicate with both Cloudera and the community at large. Cloudera Engaged describes this multi-faceted approach to keeping customers connected so we can maximize your satisfaction and success. We are committed to engaging with our customers, listening to feedback and acting on it. We make every attempt to improve the customer experience through operational modifications that drive better, faster innovation while benefiting the Cloudera culture both internally and within the community."
3,Google,"Google's mission statement is “to organize the world's information and make it universally accessible and useful.” Ever since its beginnings, the company has focused on developing its proprietary algorithms to maximize effectiveness."
4,Visier,"The idea of Visier was conceived one springtime night when John Schwarz, former CEO of Business Objects and SAP Executive Board Member, met Ryan Wong, his former Chief Technical Architect, who was then head of Engineering worldwide at SAP, for dinner. John and Ryan reflected on their shared experiences and decided that, if they could start over, they could address key pain points that their business intelligence customers had: that the cost was too high, the deployment time too long, the skills required on behalf of the end user too unreasonable. And they could do this by developing an innovative Applied Big Data solution that puts answers to important questions at the fingertips of all decision makers
We are dedicated to helping you maximize your business outcomes through your people.
We do this with a breakthrough Workforce Intelligence solution, developed on our patented Big Data technology, that dramatically changes how people think about and leverage data to make business decisions"
5,Domo,"It started with highly respected, highly frustrated executives who felt locked out of their own business data. And when you get that much talent and experience focused on one problem—making data more accessible to business leaders—you get a phenomenal solution.
Now, with more than $450 million in funding, Domo serves executives across every role and across a broad range of industries

"
6,SAP,"SAP’s vision is to help the world run better and improve people’s lives. This is our enduring cause; our higher purpose. 

Our customers look to us to help them Run Simple – to seamlessly connect people and technology, real-time. We help them re-imagine business and life to drive meaningful impact globally. With SAP HANA as the great simplifier, our customers are creating breakthroughs that solve complex, intractable problems."
7,Palantir technologies,"Palantir is a mission-focused company. Our team is dedicated to working for the common good and doing what's right, in addition to being deeply passionate about building great software and a successful company.
From protecting privacy and civil liberties to promoting open software to pursuing philanthropic engagements to a host of other initiatives, we put our values to work in the service of making the world a better place, every day.
Palantir Technologies is a mission-driven company, and a core component of that mission is protecting our fundamental rights to privacy and civil liberties. Since its inception, Palantir has invested its intellectual and financial capital in engineering technology that can be used to solve the world’s hardest problems while simultaneously protecting individual liberty. Robust privacy and civil liberties protections are essential to building public confidence in the management of data, and thus are an essential part of any information system that uses Palantir software."
8,Alpine data labs,"It's no secret: the Big Data Era is upon us. There isn't a single day when new statistics are published about the growth of the data generated, collected and available for us to mine and analyze.

If you've come to our site, you most likely want to take advantage of the amazing opportunity Big Data represents. Problem is, the road to Big Data ROI has been fraught with peril and compromise. Despite the billions of dollars companies have invested in Big Data, only a small minority have been able to drive business value from it. That's appalling: at Alpine Data Labs, we've made it our mission to end this compromise.

We have built the World's Most Comprehensive Advanced Analytics Platform for Big Data. Our goal is to help your company drive business value from your Big Data investment faster. Here is what we believe and separates us from the pack.

ADVANCED ANALYTICS IN THE BIG DATA ERA. When Gartner Research selected Alpine Data Labs as one of a small number of companies for its Magic Quadrant, the research firm highlighted some of our key differentiators: scalability, our modern collaborative approach and taking customer input to help drive the product roadmap. Gartner also noted that the world has changed quite a bit since the first predictive analytics companies entered this market. We agree: thirty years ago, it was acceptable to extract data before analyzing it. Thirty years ago, it was acceptable to rely on samples to assert your assumptions. Thirty years ago, it was acceptable to only work small datasets. Thirty years ago, it was acceptable to work in isolation from the rest of the company. If your team is forced to work today with the same tools and approach the industry used thirty years ago, they will miss the Big Data opportunity. In a post-internet and post-Hadoop world, why would your people have to download software? Why would they have to learn multiple programming languages? Why would they have to work with limited datasets? Why limit yourself to a desktop solution that not only fails to scale but exposes your organization to risk, because data and results are stored on laptops and shared by email?

Alpine Chorus 5.0 is the world's only advanced analytics platform that is 100% visual, web-based, collaborative and optimized for Big Data.

OPTIMIZED FOR ALL DATA: HADOOP, DATABASE AND ALL COMMONLY USED DATA SOURCES. If you've been part of a data analysis team, then you know that the process of data wrangling is a very painful one. First, teams have to be able to discover what data is available for them to analyze. Next, once you have found the data, it must be moved to a dedicated analytical environment before analysts and data scientists can start their work. Third, your data needs to be massaged, transformed, and structured for usable advanced analysis. If, by chance, miscommunications occur - and they alwyas do - data has to be moved back-and-forth multiple times. The inefficiences of such methods compound into a data pipeline process that can cost the average organization months and millions of dollars. Unsurprisingly, research found that more than 86% of the data a company stores goes unused! At Alpine Data Labs, we are committed to helping you analyze as much data as you want without the need for additional software, hardware or complex configuration.

COMMITTED TO ANALYTICS EXCELLENCE. Analytics Excellence is achieved when your processes and practices can be applied repeatedly and in a predictable manner. That's why we've worked hard to deliver operational functionality embedded in your analytical workflow. With Alpine Chorus, your team is able to:

Work with the latest innovations with ease. We embrace industry standards like PMML, as well as open source platform technologies (Spark, MADlib, MLLib, and others). Alpine Chorus is one of the first Advanced Analytics platform to be certified on Spark and Cloudera CDH5.

Extend your analysis to production. With the Alpine Chorus REST API, it is now possible to edit, run, and integrate predictive models as part of your end-to-end analytic workflow.

Manage the analytics full-life cycle. Version control at every step of data with complete history, roll-back, commenting, model review and tracking.

BROWSE DATABASE AND HADOOP FILE SYSTEM DATA. With Alpine Chorus, analysts can browse and explore datasets across the enterprise. Once a data set is associated with a workspace, Alpine Chorus will manage the flow of data, track dependencies, and always have the most recent version due to its in-cluster technology. Analysts can operate on the data and share the results of their analysis as a new dataset, which can then be discovered and accessed by other users.

SELF-SERVICE PROVISIONING. With Alpine Chorus, the data science team can create new sandboxes with a few simple clicks. There is no longer a need to file a ticket with IT and wait days (or weeks) for the solution. With self- service provisioning, users can instantiate new sandbox schemas on the fly within existing infrastructure.

MINE, MODEL, AND LEVERAGE YOUR DATA WHERE IT LIVES. With Alpine Chorus, business analysts and data scientists perform every aspect of the analytics workflow —exploration and profiling, transformation, modeling, and scoring— without needing to extract or move data to a separate analytics environment. Because Alpine leverages the scalability of existing database and Hadoop platforms, these processes can be performed with no limitations on the size or complexity of your data"
9,GoodData,"Our vision is to change the way people experience business intelligence
Innovative products. Intuitive experiences. Exceptional people. 
Welcome to GoodData.
Our clients. Our people. Our company.
Thrive in the new world of digital relationships."
10,Oracle,"The workforce is increasingly mobile. Customers are social and digital
natives. Security has never been more paramount. To meet these shifting
market demands, businesses must accelerate their digital transformation—
simplify operations, speed innovation, and hone their competitive edge.
Oracle Fact Sheet
Oracle offers an integrated array of
applications, databases, servers, storage,
and cloud technologies to empower modern
business. For most companies, flexibility
is critical. Oracle provides a wide choice of
software, systems, and cloud deployment
models—including public, on-premises, and
hybrid clouds—to ensure that technology
flexes to the unique needs of a business.
Oracle Cloud is a complete, integrated stack
of platform, infrastructure, and application
services. With advanced scalability and
security, Oracle Cloud enables technical agility
across the enterprise, connects people to
information for clearer insights, and fosters
efficiency through simplified workflows.
More than 420,000 customers across 145
countries have harnessed Oracle technology
to accelerate their digital transformation.
ORACLE CLOUD SOLUTIONS
Modern cloud services help companies
seize new business opportunities and
innovate faster. Oracle delivers the most
comprehensive portfolio of integrated cloud
solutions for business, IT, and development
needs, including software as a service (SaaS),
platform as a service (PaaS), infrastructure as
a service (IaaS), and data as a service (DaaS).
Oracle Cloud helps businesses offload IT
management so that they can focus on
their priorities.
ORACLE DATABASE
Designed for cloud computing, the world’s
#1 database enables the consolidation
and management of databases as cloud
services. Companies can accelerate analytical
performance—while achieving new levels
of efficiency and availability. Oracle Database
can be rapidly provisioned and ready to use in
minutes. With just a few clicks, customers can
set up new database instances in a complete
development environment. Best of all, there
are no application changes when customers
move their legacy databases to Oracle’s
secure and optimized cloud platform.
MySQL is the world’s most popular open
source database, enabling cost-effective
delivery of reliable, high-performance,
and scalable web -based and embedded
database applications.
ORACLE MIDDLEWARE
Oracle’s integrated middleware platform
for the enterprise and the cloud enables
companies to create and run agile, intelligent
business applications while optimizing IT
efficiency through full utilization of modern
hardware and software architectures.
ORACLE APPLICATIONS
Companies of all sizes rely on Oracle’s
complete, modern, and secure portfolio
of enterprise and industry applications to
connect the entire organization and provide
data-driven intelligence. Oracle offers
maximum personalization and choice,
including SaaS applications for customer
experience, enterprise performance
management, enterprise resource planning,
human capital management, supply chain
management, and more. Oracle’s enterprise
solutions support all types of cloud scenarios,
including public, private, and hybrid clouds. 
ORACLE INDUSTRY SOLUTIONS
Oracle’s dedicated industry organizations
provide deep industry expertise and
best-of-breed technologies for running
a customer’s core business— on premises
or in the cloud. Key industries include
communications, education, engineering
and construction, financial services, health
sciences, hospitality, public sector, retail,
utilities, and more.
ORACLE ENGINEERED SYSTEMS
Oracle’s integrated systems combine
Oracle hardware and software, engineered
and optimized to work together to cut
complexity and cost. This results in
extreme performance, easier deployment
and upgrades, and more efficient
systems management.
ORACLE SERVERS
Oracle’s enterprise servers deliver advanced
security, high performance, simplified
management, and high availability at a low
cost of ownership. The systems and Oracle
software are coengineered for performance
and provide built-in redundancy for maximum
uptime and continuous service.
ORACLE STORAGE
Oracle’s application-engineered storage
is designed to accelerate application
performance, increase efficiency, and
improve management. These advanced
storage solutions let enterprises simplify
IT environments so they can operate more
cost-effectively and be more responsive
to dynamic business needs.
ORACLE SERVICES
Oracle services help companies optimize
their technology investments and resources.
» Oracle Advanced Customer Support
Services and Oracle Premier Support
deliver tailored, mission-critical support
for complex IT environments to help
maximize performance, achieve higher
availability, and reduce risk.
» Oracle Consulting provides
deep expertise to help customers
succeed with architecture, planning,
implementation, upgrade, and

migration across the Oracle stack.

»  Oracle Financing offers expertise and
insight—along with proven processes
and streamlined execution—to help
organizations with their IT investments.
» Oracle Managed Cloud Services
enable organizations to extend their Oracle
investments into the cloud with greater
value, choice, and confidence.
»  Oracle University provides a worldclass
educational experience, with the
best instructors in the industry.
ORACLE MIDSIZE
AND SMB SOLUTIONS
Oracle provides modern, complete,
and simple-to -deploy cloud solutions to
organizations and companies of all sizes.
Designed for fast time to benefit, these
solutions are available as fixed-scope,
fixed-price offerings from expert partners
and Oracle Consulting, providing midsize and
small-to-medium businesses (SMBs) with a
strong foundation for innovation and growth.
DEVELOPER AND
OTHER COMMUNITIES
For developers, as well as customers,
partners, and other users, Oracle offers
a wide range of ways to try Oracle
technologies, get involved, and be heard.
Oracle’s global communities include
Oracle Technology Network, Oracle
PartnerNetwork, Java.net, and Oracle
user groups. Oracle communities can
also be found online on Facebook,
LinkedIn, Twitter, and more.
ACCELER ATING DIGITAL
TRANSFORMATION
Enterprises focused on accelerating
their digital transformation can reap
the benefits of an empowered modern
business. Simplifying processes brings
greater efficiency. Connecting people to
information leads to insights that improve
customer experience. And enabling technical
agility creates room for innovation that
sharpens the competitive edge. "
